,var1,var2,corr
36074,おっぱい,SM,-0.045522430912038135
25042,男性受け,異種えっち,-0.0455149545636445
31194,巨乳/爆乳,コメディ,-0.045505884689841763
7569,口内射精,異種えっち,-0.045479363731920366
23026,中出し,ニューハーフ,-0.045456651963499954
17549,ショタおね,フェラチオ,-0.04543007310539646
53878,ささやき,巨乳/爆乳,-0.04540547761708676
25559,本番なし,制服,-0.04535553924494597
38046,妊娠/孕ませ,淫語,-0.045312632676016935
55826,フタナリ,中出し,-0.04530001867234943
26921,人妻,触手,-0.04529726171634342
8964,制服,女性視点,-0.04528473033798052
25164,男性受け,トランス/暗示,-0.04522120975660978
29724,スカトロ,ラブラブ/あまあま,-0.045186006232516854
1175,アヘ顔,シリーズもの,-0.045121822102860594
31184,巨乳/爆乳,機械責め,-0.045112111444346056
7813,触手,足コキ,-0.04498110918804525
25594,本番なし,学校/学園,-0.04496779237301305
12558,フェラチオ,性転換(TS),-0.044966511330186774
33851,逆レ,クリ責め,-0.04496612194321233
54665,クンニ,人体改造,-0.04495070601963868
52287,百合,パイズリ,-0.04492654576449632
34049,長身,つるぺた,-0.04492081464868442
29451,OL,アヘ顔,-0.04487266018984975
55169,ハーレム,合意なし,-0.04483397764262928
44174,複数プレイ/乱交,オホ声,-0.04482141271838455
54833,クンニ,オホ声,-0.04481904707947548
50879,逆アナル,フェラチオ,-0.04479271293487995
59028,学生,乳首責め,-0.044775241687232153
52263,百合,逆レ,-0.0447565859697621
8992,制服,東方Project,-0.044724947496918965
28904,妹,男性受け,-0.04466661498498533
12520,フェラチオ,変身ヒロイン,-0.04461115894941985
30846,手コキ,オホ声,-0.04458723397103298
15734,責め苦,フェラチオ,-0.04457449240336885
55943,フタナリ,ハーレム,-0.044543599307806214
64084,おねショタ,クリ責め,-0.04450494281626629
36290,おっぱい,スカトロ,-0.044476286231396496
56549,ギャグ,おっぱい,-0.044476286231396406
23101,中出し,淫語,-0.04445798056836243
30009,陰毛/腋毛,つるぺた,-0.04445129322175192
12513,フェラチオ,搾乳,-0.044441707152641036
25023,男性受け,シリーズもの,-0.044411481596998356
38171,妊娠/孕ませ,女主人公,-0.044344172683506725
7873,触手,口内射精,-0.04426190940888153
52253,百合,巨乳/爆乳,-0.044165357356631234
28712,妹,乳首責め,-0.04413517430319613
23117,中出し,ASMR,-0.04410878656548722
59077,学生,東方Project,-0.04408937402235401
11983,性転換(TS),アヘ顔,-0.044077917445857887
7244,アナル,バイノーラル/ダミヘ,-0.04406656447636867
44503,淡白/あっさり,巨乳/爆乳,-0.04401375103626625
66953,癒し,フェラチオ,-0.04400664191667286
12511,フェラチオ,3D作品,-0.044006641916672834
12464,フェラチオ,ゲイ/男同士,-0.0440066419166728
25180,男性受け,潮吹き,-0.043998600477951864
50469,初体験,異種えっち,-0.043899254388203246
38176,妊娠/孕ませ,本番なし,-0.04383598359139536
37997,妊娠/孕ませ,シリーズもの,-0.04381313223625815
55929,フタナリ,初体験,-0.043807134369991375
52869,連続絶頂,寝取られ,-0.043763450977210135
46271,尿道,中出し,-0.04375851857489791
40236,パイズリ,人体改造,-0.04372072628857369
12554,フェラチオ,ピアス/装飾品,-0.04370266618739406
6359,セーラー服,逆転無し,-0.04369914417785656
55792,フタナリ,クリ責め,-0.04363845901182819
25157,男性受け,クリ責め,-0.043638459011828085
4752,拘束,淫語,-0.04359583091333586
20098,体格差,屈辱,-0.043578420107648314
41937,近親もの,乳首責め,-0.0434764471639294
57880,きせかえ,巨乳/爆乳,-0.04346838608319966
20822,潮吹き,リョナ,-0.043457017067584286
20756,潮吹き,人体改造,-0.04345540989523325
54841,クンニ,本番なし,-0.043454630371652196
20753,潮吹き,シリーズもの,-0.04343732728085302
36359,悪堕ち,貧乳/微乳,-0.04337398766285858
32096,褐色/日焼け,オホ声,-0.04336829248494502
25586,本番なし,処女,-0.043349445267465606
8288,ぼて腹/妊婦,乳首責め,-0.043335507475047275
47326,女性優位,アヘ顔,-0.04327830035315536
36393,悪堕ち,ラブラブ/あまあま,-0.0431693298313027
